timestamp,src_host,dst_host,src_subnet,dst_subnet,proto,sport,dport,service,duration,bytes,packets,sttl,dttl,state,sloss,dloss,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,label,_unsw_row_id,scenario_name
7.50322656680008,Enterprise1,external_50,Subnet 2 (Enterprise),External,tcp,22136,25,smtp,1.0,1000,5,254,0,INT,0,0,4,34,Normal,Benign,42265,ShellShock
66.96322144464682,Enterprise1,Enterprise0,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,3087,25,smtp,1.0,1000,5,31,29,FIN,7,7,1,4,Normal,Benign,21773,ShellShock
82.50879551073578,Enterprise0,OpHost2,Subnet 2 (Enterprise),Subnet 3 (Operational),tcp,55075,25,smtp,1.0,1000,5,31,29,FIN,7,7,1,3,Normal,Benign,18054,ShellShock
191.82803953736513,User0,Enterprise2,Subnet 1 (User),Subnet 2 (Enterprise),tcp,10445,25,smtp,1.73437,1000,5,31,29,FIN,4,4,6,5,Normal,Benign,808,ShellShock
203.00984622687338,Enterprise2,external_66,Subnet 2 (Enterprise),External,tcp,59319,22,ssh_admin,10.0,200,10,31,29,FIN,38,390,1,7,Normal,Benign,38902,ShellShock
220.94136424920373,Enterprise2,external_39,Subnet 2 (Enterprise),External,tcp,48628,3389,rdp,30.0,5000,50,31,29,FIN,7,27,1,1,Normal,Benign,35602,ShellShock
304.4608978385242,external_Enterprise0,external_OpHost2,External,External,tcp,36653,80,http,0.535404,3298,20,62,252,FIN,2,2,1,1,Exploits,Malicious,120994,ShellShock
350.43469416314707,external_User0,external_OpHost0,External,External,tcp,63556,5000,-,1.01568,918,18,254,252,FIN,2,1,1,1,Reconnaissance,Malicious,116196,ShellShock
402.10960909842635,external_User2,external_Enterprise1,External,External,tcp,4222,80,http,0.720199,3070,20,62,252,FIN,2,2,1,1,Exploits,Malicious,60088,ShellShock
450.14898609719035,external_User4,external_Enterprise1,External,External,udp,28673,53,dns,0.001068,292,4,31,29,CON,0,0,1,3,Normal,Malicious,40358,ShellShock
501.639784811027,external_User3,external_Enterprise0,External,External,ddp,32873,5000,-,9e-06,200,2,254,0,INT,0,0,3,7,DoS,Malicious,81048,ShellShock
578.7901646607752,external_Enterprise0,external_OpHost2,External,External,tcp,13331,80,http,0.198321,1194,16,254,252,FIN,2,1,1,1,Exploits,Malicious,85523,ShellShock
650.199019772629,external_Enterprise1,external_Enterprise0,External,External,unas,34389,5000,-,1e-05,200,2,254,0,INT,0,0,4,13,DoS,Malicious,87113,ShellShock
726.4912823801499,external_Enterprise2,external_external_153,External,External,tcp,1807,5000,-,5.440268,270,6,254,0,REQ,5,0,1,7,Normal,Malicious,45517,ShellShock
806.4988443777952,external_Enterprise2,external_OpHost0,External,External,leaf-2,62670,5000,-,9e-06,200,2,254,0,INT,0,0,1,7,DoS,Malicious,52078,ShellShock
905.4494148060321,external_User1,external_OpHost0,External,External,pup,10540,5000,-,9e-06,180,2,254,0,INT,0,0,8,10,Generic,Malicious,139641,ShellShock
1002.204406220407,external_User1,external_Enterprise0,External,External,tcp,20585,5000,-,0.621632,782,16,254,252,FIN,2,1,1,9,Normal,Malicious,44356,ShellShock
1104.5491317746428,User1,User4,Subnet 1 (User),Subnet 1 (User),tcp,42198,80,http,0.5,500,5,31,29,FIN,5,4,1,1,Normal,Benign,11793,ShellShock
1109.2745843380148,Enterprise1,external_83,Subnet 2 (Enterprise),External,tcp,18383,23934,http,1.1970249000000002,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown
1208.8356498682472,Enterprise0,external_54,Subnet 2 (Enterprise),External,tcp,7008,21,ftp,5.0,100000,50,31,29,FIN,7,30,1,1,Normal,Benign,28015,ShellShock
1335.6161815788387,Enterprise2,external_60,Subnet 2 (Enterprise),External,tcp,34459,80,http,0.5,500,5,31,29,FIN,7,28,1,1,Normal,Benign,5900,ShellShock
1338.1753615625944,User1,external_30,Subnet 1 (User),External,tcp,42241,22,ssh_admin,10.0,200,10,62,252,CON,2,1,3,10,Normal,Benign,100964,ShellShock
1419.3432753666928,Enterprise2,external_75,Subnet 2 (Enterprise),External,tcp,39266,26162,dns,0.1,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown
1512.485978713136,Enterprise0,external_87,Subnet 2 (Enterprise),External,tcp,54411,3389,rdp,30.0,5000,50,31,29,FIN,30,32,1,2,Normal,Benign,10618,ShellShock
1520.7452062733782,User1,external_88,Subnet 1 (User),External,tcp,26033,53,dns,1.0,117524,235,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown
1561.425654654876,Enterprise2,external_33,Subnet 2 (Enterprise),External,tcp,45700,22,ssh_admin,9.630128446232188,2000,40,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown
1569.498873269492,Enterprise0,external_18,Subnet 2 (Enterprise),External,tcp,57457,25,smtp,1.0,228943,457,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown
